name,gender,age,steps,date,hightemp,watereq,snowfall
Beijing,F,50-59,4873,18/06/2014,88,0.079999998,0
Beijing,F,60+,4793,18/06/2014,88,0.079999998,0
Beijing,F,All,5169,18/06/2014,88,0.079999998,0
Beijing,All,20-29,6878,18/06/2014,88,0.079999998,0
Beijing,All,30-39,6563,18/06/2014,88,0.079999998,0
Beijing,All,40-49,6823,18/06/2014,88,0.079999998,0
Beijing,All,50-59,7949,18/06/2014,88,0.079999998,0
Beijing,All,60+,4793,18/06/2014,88,0.079999998,0
Beijing,All,All,6724,18/06/2014,88,0.079999998,0
Beijing,M,20-29,7445,19/06/2014,81,0.2,0
Beijing,M,30-39,5968,19/06/2014,81,0.2,0
Beijing,M,40-49,4564,19/06/2014,81,0.2,0
Beijing,M,50-59,7077,19/06/2014,81,0.2,0
Beijing,M,All,6079,19/06/2014,81,0.2,0
Beijing,F,20-29,5656,19/06/2014,81,0.2,0
Beijing,F,30-39,6100,19/06/2014,81,0.2,0
Beijing,F,40-49,4351,19/06/2014,81,0.2,0
Beijing,F,50-59,9801,19/06/2014,81,0.2,0
Beijing,F,60+,5221,19/06/2014,81,0.2,0
Beijing,F,All,5696,19/06/2014,81,0.2,0
Beijing,All,20-29,6694,19/06/2014,81,0.2,0
Beijing,All,30-39,6010,19/06/2014,81,0.2,0
Beijing,All,40-49,4477,19/06/2014,81,0.2,0
Beijing,All,50-59,7496,19/06/2014,81,0.2,0
Beijing,All,60+,5221,19/06/2014,81,0.2,0
Beijing,All,All,5942,19/06/2014,81,0.2,0
Beijing,M,20-29,7955,20/06/2014,82,0.28,0
Beijing,M,30-39,7157,20/06/2014,82,0.28,0
Beijing,M,40-49,6209,20/06/2014,82,0.28,0
Beijing,M,50-59,9488,20/06/2014,82,0.28,0
Beijing,M,All,7359,20/06/2014,82,0.28,0
Beijing,F,20-29,5553,20/06/2014,82,0.28,0
Beijing,F,30-39,5666,20/06/2014,82,0.28,0
Beijing,F,40-49,5247,20/06/2014,82,0.28,0
Beijing,F,50-59,15313,20/06/2014,82,0.28,0
Beijing,F,60+,5281,20/06/2014,82,0.28,0
Beijing,F,All,5678,20/06/2014,82,0.28,0
Beijing,All,20-29,6799,20/06/2014,82,0.28,0
Beijing,All,30-39,6644,20/06/2014,82,0.28,0
Beijing,All,40-49,5824,20/06/2014,82,0.28,0
Beijing,All,50-59,9904,20/06/2014,82,0.28,0
Beijing,All,60+,5281,20/06/2014,82,0.28,0
Beijing,All,All,6736,20/06/2014,82,0.28,0
Beijing,M,20-29,9409,21/06/2014,82,0.28,0
Beijing,M,30-39,5418,21/06/2014,82,0.28,0
Beijing,M,40-49,6831,21/06/2014,82,0.28,0
Beijing,M,50-59,9004,21/06/2014,82,0.28,0
Beijing,M,All,6770,21/06/2014,82,0.28,0
Beijing,F,20-29,6964,21/06/2014,82,0.28,0
Beijing,F,30-39,5783,21/06/2014,82,0.28,0
Beijing,F,40-49,4336,21/06/2014,82,0.28,0
Beijing,F,50-59,37177,21/06/2014,82,0.28,0
Beijing,F,60+,7781,21/06/2014,82,0.28,0
Beijing,F,All,6405,21/06/2014,82,0.28,0
Beijing,All,20-29,8374,21/06/2014,82,0.28,0
